kodas;veikla;DARB;PAJAMOS_EUR
X00189;515600;11;1986146
X00190;266100;0;0
X00191;642020;633;172211244
X00192;222500;2;1032
X00193;252300;12;465355
X00194;642010;12;493798
X00195;714070;83;2485727
X00196;741410;6;81721
X00197;361400;2;764
X00198;642010;1;31409
X00199;111000;74;6878000
X00200;361500;27;519289
X00201;724000;2;6430
X00202;748700;8;1582607
X00203;660100;138;34915564
X00204;524890;0;2953,26
X00205;352000;69;9451529
X00206;268200;272;52300230
X00207;251200;0;428462,70
X00208;514600;21;2919551
X00209;201000;0;4928
X00210;182200;0;1013
X00211;518700;32;3167294
X00212;322000;48;3218441
X00213;152000;526;150969265
X00214;553000;0;11179,91
X00215;151300;49;2102259
X00216;182100;327;3734958
X00217;702000;3;177620
X00218;634020;51;8197126
X00219;518700;6;402203
X00220;511600;2;237691
X00221;742000;7;32401
X00222;851200;77;3802264
X00223;524830;4;179699
X00224;175400;2;209398
X00225;514700;3;98839
X00226;518700;16;2888111
X00227;183000;40;987210
X00228;748500;2;8971
X00229;243000;20;2131653
X00230;252300;2;110914
X00231;518700;0;2944
X00232;602410;2;1953
X00233;284000;233;19478376
X00234;513500;0;0
X00235;514600;2;1589
X00236;182200;100;1830419
X00237;518700;33;4872987
X00238;243000;14;205409
X00239;452200;5;48347
X00240;518700;1;55009
X00241;152000;157;10627900
X00242;524400;1;108
X00243;11110;16;4335118
X00244;201000;12;441797
X00245;514620;0;0
X00246;252400;15;754894
X00247;203000;16;609023
X00248;292400;2;42417
X00249;524630;1;0
X00250;515100;20;16046690
X00251;518700;0;0
X00252;291200;1;55025
X00253;361400;24;937049
X00254;513100;88;15364684
X00255;744000;43;6670146
X00256;515600;5;2881882
X00257;930300;0;33387
X00258;518700;124;8232067
X00259;159700;32;28895107
X00260;514700;3;575561
X00261;722200;0;0
X00262;633010;38;14054593
X00263;182300;18;2112439
X00264;515400;2;93001
X00265;515320;17;4667191
X00266;524880;8;1042030
X00267;631220;7;1291024
X00268;515320;78;34342342
X00269;518400;8;171000
X00270;602410;22;1754057
X00271;452500;25;646580
X00272;286200;9;185779
X00273;553000;29;532471
X00274;515300;0;0
X00275;203000;6;376174
X00276;193000;72;3099996
X00277;159600;327;60235777
X00278;518600;5;546459
X00279;672010;35;1128717
X00280;514700;78;15305853
X00281;518700;11;2513777
X00282;501000;16;20790014
X00283;748700;2;31279
X00284;502000;0;209577,73
X00285;201000;3;26513
X00286;182300;310;16925789
X00287;154300;28;7593758
X00288;266100;29;1791446
X00289;514300;11;2968909
X00290;741400;3;458228
X00291;514620;6;743673
X00292;742000;7;181952
X00293;403000;70;41691970
X00294;602400;0;111414
X00295;744000;1;118534
X00296;511400;4;273685
X00297;741400;1;323868
X00298;518400;44;1809770
X00299;514300;6;1708222
X00300;252100;60;6902035
X00301;742000;3;78650
X00302;722200;1;1109,82
X00303;331000;32;1588055
X00304;602430;17;908237
X00305;515500;7;2361337
X00306;722200;0;0
X00307;722020;0;22315,51
X00308;518200;5;98700
X00309;515300;15;1270720
X00310;514600;0;108427
X00311;634020;9;3266532
X00312;521200;161;23951116
X00313;514700;5;123427
X00314;159700;16;677232
X00315;361400;92;3912524
X00316;203000;2;19241
X00317;514620;8;1474484
X00318;515500;7;153314
X00319;171200;56;4652746
X00320;515200;20;4881061
X00321;652300;0;751853,57
X00322;702000;0;0
X00323;518700;4;49714
X00324;631100;0;
X00325;722200;8;320493
X00326;747020;0;0
X00327;515400;4;337230
X00328;175400;78;4406768
X00329;518700;1;127370
X00330;202000;2;1434653
X00331;723000;17;2021526
X00332;514300;11;1211932
X00333;453120;31;704730
X00334;515320;11;5920322
X00335;602410;104;7658316
X00336;518700;10;1822710
X00337;11100;0;31494
X00338;514750;0;42712
X00339;154300;17;7661282
X00340;611020;550;75052604
X00341;923230;2;0
X00342;515300;20;2349828
X00343;182100;49;1770020
X00344;193000;150;4405551
X00345;175400;20;1051151
X00346;15000;4;183305
X00347;742000;20;2355064
X00348;515300;14;719670
X00349;741400;7;566091
X00350;503000;4;3876
X00351;514720;0;0
X00352;524810;1;2998
X00353;518700;4;346965
X00354;602100;38;3364277
X00355;518700;0;16664
X00356;514500;3;100253
X00357;713400;79;3598728
X00358;502000;3;56756
X00359;518500;1;59747
X00360;315000;0;138797,21
X00361;201000;142;8152608
X00362;741200;321;17109000
X00363;361400;3;17815
X00364;203000;6;29514
X00365;518700;8;1232280
X00366;741400;3;0
X00367;515400;6;858626
X00368;454300;12;168172
X00369;251300;12;248595
X00370;514770;23;1699294
X00371;518700;13;3580592
X00372;602410;92;12289441
X00373;315000;345;39535079
X00374;13000;7;285476
X00375;515100;0;53565
X00376;401100;13;6210442
X00377;642010;1;0
X00378;511800;0;0
X00379;518700;3;76558
X00380;741400;3;35930
X00381;252400;3;10923951
X00382;641200;6;210810
X00383;804200;2;9405
X00384;713200;6;166520
X00385;331000;1;0
X00386;514700;0;0
X00387;621010;176;24839111
X00388;514750;23;3115806
X00389;711000;26;5570575
X00390;745000;3;402010
X00391;515600;2;420937
X00392;524410;0;0
X00393;553000;4;97565
X00394;524810;5;290503
X00395;518800;10;865161
X00396;245100;0;38109
X00397;602100;2;114320
X00398;745000;5;10984891
X00399;501000;80;33906183
X00400;515300;2;228133
X00401;518300;11;1758626
X00402;741240;5;2834204
X00403;631110;136;5119841
X00404;222200;11;190296
X00405;513700;57;9240261
X00406;511800;0;1020
X00407;744000;52;2714000
X00408;452100;70;687700
X00409;711000;29;7367821
X00410;514600;2;0
X00411;157200;753;156663533
X00412;602410;31;2182339
X00413;514600;136;97763000
X00414;515150;1;3601037
X00415;361400;113;2993889
X00416;351100;5;81998
X00417;741200;0;91987,37
X00418;518800;15;2199096
X00419;503000;1;3660
X00420;702000;6;1127740
X00421;515150;52;24863163
X00422;316100;1388;41021585
X00423;515500;17;11780387
X00424;518700;17;2990929
X00425;512300;5;1586180
X00426;182300;0;0
X00427;642020;123;201958000
X00428;514600;49;24703756
X00429;741200;171;8071160
X00430;703200;3;41681
X00431;514600;3;350986
X00432;511300;19;2922389
X00433;518400;16;2460253
X00434;513420;152;46048912
X00435;930220;96;2820341
X00436;501010;77;24527900
X00437;514700;49;3654660
X00438;526300;3;233
X00439;515600;13;3030491
X00440;182200;20;167689
X00441;741210;121;6092381
X00442;526300;21;2330920
X00443;515400;26;3412297
X00444;518300;3;112756
X00445;524800;1;0
X00446;514600;9;1257962
X00447;292400;38;2605656
X00448;602410;26;1628048
X00449;551000;6;0
X00450;514200;0;2316,96
X00451;331000;2390;100028236
X00452;523300;165;17799605
X00453;748700;12;1022334
X00454;741210;18;422753
X00455;851220;429;12544155
X00456;518700;66;8048313
X00457;743000;25;2663333
X00458;744000;3;284039
X00459;634020;9;487355
X00460;212100;112;13449467
X00461;524100;0;45302
X00462;526310;13;3734552
X00463;743000;0;0
X00464;518700;17;6477436
X00465;518700;64;15909000
X00466;514500;0;585
X00467;551000;9;180448
X00468;203000;36;518818
X00469;514500;4;50598
X00470;741200;68;5386332
X00471;722200;73;8460381
X00472;514770;3;32194
X00473;182200;14;127000
X00474;515300;13;1234224
X00475;515700;0;225561
X00476;514600;20;4503958
X00477;743000;10;600369
X00478;633010;8;1384902
X00479;524890;179;5863420
X00480;515410;101;23683573
X00481;634000;205;58495236
X00482;513500;3;2796523
X00483;11110;1;4446939
X00484;514620;4;1039529
X00485;633010;14;5750034
X00486;514100;3;412718
X00487;351100;2;34690
X00488;514600;2;9,85
X00489;702000;0;0
X00490;553000;786;22584116
X00491;743000;20;971492
X00492;702000;8;399341
X00493;524100;2;7812
X00494;744000;5;165179
X00495;515300;10;2408811
X00496;702000;32;32057943
X00497;515300;36;7893068
X00498;672000;13;231133
X00499;742000;1;0
X00500;518700;6;676274
X00501;602410;6;55175
X00502;515510;133;159083574
X00503;518700;0;47435,99
X00504;724000;17;705194
X00505;742000;201;5727191
X00506;741500;0;107725,90
X00507;514600;16;5302012
X00508;743000;0;322779
X00509;634020;20;4280271
X00510;634020;70;14031279
X00511;742070;14;565632
X00512;526310;11;1338897
X00513;741200;59;2027702
X00514;212100;52;18161622
X00515;924000;0;0
X00516;153200;37;8402410
X00517;702000;2;294172
X00518;518800;34;5955000
X00519;513800;27;8454619
X00520;514500;5;501550
X00521;515300;1;12095
X00522;514240;4;83527
X00523;723000;5;1730639
X00524;513800;4;1191825
X00525;515300;39;13711943
X00526;634020;54;10026861
X00527;722200;18;912252
X00528;515400;148;11605233
X00529;11110;4;87131
X00530;515400;37;8978470
X00531;551000;0;0
X00532;453400;9;1297629
X00533;551000;44;1690138
X00534;511300;12;805892
X00535;744000;8;948824
X00536;515500;11;6883391
X00537;515320;31;3779221
X00538;741400;24;5068253
X00539;514300;4;6867510
X00540;631100;49;1962388
X00541;741500;3;3053
X00542;515300;5;779788
X00543;501050;0;223614
X00544;744000;0;17596
X00545;514700;58;18258430
X00546;634020;12;4923100
