kodas;ROD_KOD;VLST_KODAS2;2018_1;2018_2;2018_3;2018_4
X00001;1000;BE;947;;;
X00002;3000;RU;;;;1
X00002;3050;RU;;;;1
X00003;2260;SE;77;;;
X00004;3260;EE;366;;;
X00004;3260;LV;16;;;
X00005;4260;LV;5;;;
X00006;2260;DE;22;;;
X00007;4280;EE;811;;;
X00008;2260;DK;73;;;
X00009;1030;NL;;-1180;;
X00009;3030;EE;;197;;
X00009;3030;LV;;91;;
X00010;1040;DE;105;;;
X00011;1030;CY;-16;;;
X00011;1030;DK;-22;;;
X00012;1031;DK;;150;;
X00013;1260;EE;1;;;
X00014;1000;SE;2960;;;
X00014;1030;SE;105;;;
X00014;1050;SE;3065;;;
X00015;1040;ES;2017;;;
X00016;1260;DK;18;;;
X00016;2260;DK;10;;;
X00017;3260;BY;859;;;
X00017;3280;BY;859;;;
X00017;4260;BY;60;;;
X00018;3000;LV;3;;;
X00018;3050;LV;3;;;
X00019;3260;CY;3;;;
X00020;3000;EE;3118;;;
X00020;3050;EE;3118;;;
X00021;1030;HU;;1273;;
X00021;1031;HU;;579;;
X00022;2324;NL;;;1273;
X00023;2260;RU;2;;;
X00024;1010;DE;;110;;
X00024;1012;DE;;110;;
X00025;1000;FR;118170;128766;131410;134499
X00025;1030;FR;10596;2644;3089;1430
X00025;1050;FR;128766;131410;134499;135929
X00026;1040;DK;;-1;;
X00027;2260;EE;57;;;
X00027;2260;LV;23;;;
X00027;2260;PL;17;;;
X00028;1260;EE;7;;;
X00029;2320;FI;272;;;
X00029;2324;FI;272;;;
X00030;2260;D09;;;;1
X00030;2280;D09;;;1;
X00031;2260;LV;368;;;
X00032;2260;DE;368;;;
X00033;1030;LI;-206;;;
X00034;3000;RU;;;;-3410
X00034;3030;RU;;;;-557
X00034;3050;RU;;;;-3967
X00034;3260;RU;;;;4555
X00034;3280;RU;;;;4055
X00035;1260;EE;10;;;
X00035;1260;HU;21;;;
X00035;1260;NO;114;;;
X00035;2260;DK;299;;;
X00035;2260;EE;17;;;
X00036;3000;BY;3;;;
X00036;3050;BY;3;;;
X00037;1030;SE;;460;;
X00037;1280;NL;;1;;
X00037;1280;SI;;64;;
X00037;2280;BY;;44;;
X00037;2280;EE;;1;;
X00037;2280;LV;;1;;
X00038;1040;DK;179;;;
X00039;1040;NO;-1744;;;
X00040;1031;NO;700;;;
X00040;1310;NO;700;;;
X00041;1030;GB;46;;;
X00042;1030;SE;;138;;
X00042;1370;SE;;5;;
X00043;1010;DK;;4551;;
X00043;1011;DK;;4551;;
X00043;1020;FI;;4551;;
X00043;1021;FI;;4551;;
X00043;1030;DK;;502;;
X00043;1030;FI;;613;;
X00043;1050;DK;;5053;;
X00044;2320;SE;1081;;;
X00044;2324;SE;957;;;
X00044;2370;SE;2;;;
X00045;2260;DK;159;;;
X00046;1290;LV;200;200;200;
X00046;1310;LV;200;200;200;
X00047;1030;EE;;;732;
X00048;1040;DE;;;4418;
X00049;1260;US;32;;;
X00050;1260;NO;263;;;
X00051;1260;DK;1;;;
X00051;1260;LV;290;;;
X00051;1260;PL;6;;;
X00051;1280;DK;1;;;
X00051;1280;LV;290;;;
X00051;1280;PL;6;;;
X00051;2260;DK;29;;;
X00051;2280;DK;29;;;
X00052;1260;EE;70;;;
X00053;2260;LV;249;;;
X00054;1260;AT;25;;;
X00055;1260;BY;21;;;
X00055;1260;DE;6;;;
X00055;1260;EE;14;;;
X00055;1260;FI;3;;;
X00055;1260;HU;4;;;
X00055;1260;LV;9;;;
X00055;1260;SE;5;;;
X00056;1260;LV;29;;;
X00056;2260;LV;2;;;
X00057;1040;RU;-388;;;
X00058;3050;BY;;211;;
X00058;4260;BY;9;;;
X00058;4260;LV;93;;;
X00059;3000;RU;;;;-463
X00059;3050;RU;;;;-463
X00060;3000;RU;;;;11
X00060;3050;RU;;;;11
X00061;1030;NL;;;155;
X00062;1031;PL;;220;;
X00063;3000;RU;;;;164
X00063;3050;RU;;;;164
X00063;3260;RU;;;;110
X00063;3280;RU;;;;110
X00063;4260;RU;;;;5
