kodas;ROD_KOD;VLST_KODAS2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4
X00001;10;VG;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00001;1040;VG;;;;-2;;1071;466;;;;;;;;;;;;;;;;;;;
X00001;1043;VG;;;;;;;466;1337;;;;;;;;;;;;;;;;;;
X00001;1160;VG;;;;21076;21153;21533;;;;;;;;;;;;;;;;;;;;
X00001;1170;VG;;;560;77;380;100;;;;;;;;;;;;;;;;;;;;
X00001;1200;VG;;;21076;21153;21533;21633;;;;;;;;;;;;;;;;;;;;
X00001;20;VG;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00001;3030;VG;-319;-319;;;;;;;;;;;;;;;;;;;;;;;;
X00002;10;FI;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00002;1040;FI;;;;;;;;;-1;1;;;;;;;;;;;;;;;;
X00002;1042;FI;;;;;;;;;-1;;;;;;;;;;;;;;;;;
X00002;1043;FI;;;;;;;;;;1;;;;;;;;;;;;;;;;
X00002;20;FI;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00002;3030;FI;148;-127;;;;;;;;;;;;;;;;;;;;;;;;
X00003;10;CA;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00003;1040;CA;;;;-325;;325;;;;-1;;;;;;;;;;;;;;;;
X00003;1043;CA;;;;;;;325;;;-1;;;;;;;;;;;;;;;;
X00003;20;CA;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00003;3030;CA;458;449;;;;;;;;;;;;;;;;;;;;;;;;
X00004;3040;UA;;;;;;;2034;;;;;;;;;;;;;;;;;;;
X00004;3041;UA;;;;;;;;;;-216;-419;120;-44;;;;;;;;;;;;;
X00004;3043;UA;;;;;;;2034;-111;78;;;;;;;;;;;;;;;;;
X00004;3050;UA;3113;3113;;;;;;;;;;;;;;;;;;;;;;;;
X00005;3030;DE;1080;1460;;;;;;;;;;;;;;;;;;;;;;;;
X00006;1040;DE;;;;;;;442;;;;;;;;;;;;;;;;;;;
X00006;1043;DE;;;;;;;442;;;-61;;;;;;;;;;;;;;;;
X00006;2260;LV;;;;135;;;135;;;;;;;;;;;;;;;;;;;
X00006;2280;LV;;;135;;;135;;;;;;;;;;;;;;;;;;;;
X00006;3030;DE;-96;-171;;;;;;;;;;;;;;;;;;;;;;;;
X00006;3043;LV;;;;;;;;;;-3;;;;;;;;;;;;;;;;
X00007;1000;AT;;;55;;;;23;23;53;53;;;;;;;;;;;;;;;;
X00007;1030;AT;-6;;;-31;;;;3;;;;;;;;;;;;;;;;;;
X00007;1040;AT;;;;;;;;27;;;;;;;;;;;;;;;;;;
X00007;1043;AT;;;;;;;;27;;;;;;;;;;;;;;;;;;
X00007;1050;AT;55;55;55;23;23;23;23;53;53;53;;;;;;;;;;;;;;;;
X00007;3030;AT;-6;;;;;;;;;;;;;;;;;;;;;;;;;
X00008;10;DE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00008;1040;DE;;;40;;;-40;;;;-75;;;;;;;;;;;;;;;;
X00008;1043;DE;;;;;;;;;;-75;;;;;;;;;;;;;;;;
X00008;1260;DE;;;;;;;17;;;;;;;;;;;;;;;;;;;
X00008;1280;DE;;;;;;17;;;;;;;;;;;;;;;;;;;;
X00008;20;DE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00008;3030;DE;61;49;;;;;;;;;;;;;;;;;;;;;;;;
X00009;1030;DE;-49;;;;;;;;;;;;;;;;;;;;;;;;;
X00009;1210;DE;;;;225;225;225;;;;;;;;;;;;;;;;;;;;
X00009;1250;DE;;;225;225;225;225;;;;;;;;;;;;;;;;;;;;
X00009;1290;DE;;;;14;;;;;;;;;;;;;;;;;;;;;;
X00009;1310;DE;;;14;;;;;;;;;;;;;;;;;;;;;;;
X00009;1350;DE;;;2;2;2;2;;;;;;;;;;;;;;;;;;;;
X00009;3030;DE;-49;98;;;;;;;;;;;;;;;;;;;;;;;;
X00010;1000;RU;;;;;;;77;;;;;;;;;;;;;;;;;;;
X00010;1040;NL;;;;;90;-90;-90;;;;;;;;;;;;;;;;;;;
X00010;1040;RU;;;;;77;-77;-77;;;;;;;;;;;;;;;;;;;
X00010;1043;NL;;;;;;;-90;;;;;;;;;;;;;;;;;;;
X00010;1043;RU;;;;;;;-77;;;;;;;;;;;;;;;;;;;
X00010;1290;NL;;;60;;;;;;;;;;;;;;;;;;;;;;;
X00010;3030;NL;46;-3;;;;;;;;;;;;;;;;;;;;;;;;
X00011;10;PL;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00011;1000;PL;;;;;;;;;59727;64010;;;;;;;;;;;;;;;;
X00011;1010;PL;;;;;;;;68107;;;;;;;;;;;;;;;;;;
X00011;1020;GB;;;;;;;;68107;;;;;;;;;;;;;;;;;;
X00011;1030;PL;;;;;;;;3283;1910;;;;;;;;;;;;;;;;;
X00011;1031;PL;;;;;;;;11663;;;;;;;;;;;;;;;;;;
X00011;1040;GB;;;;;;;;-559;;;;;;;;;;;;;;;;;;
X00011;1040;PL;;;;;;;;;2373;2849;;;;;;;;;;;;;;;;
X00011;1043;GB;;;;;;;;-559;;;;;;;;;;;;;;;;;;
X00011;1043;PL;;;;;;;;;2373;2849;;;;;;;;;;;;;;;;
X00011;1050;PL;;;;;;;;59727;64010;;;;;;;;;;;;;;;;;
X00011;20;PL;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00011;2270;PL;;;;;;;;;;;199;;;;;;;;;;;;;;;
X00011;2273;PL;;;;;;;;;;;199;;;;;;;;;;;;;;;
X00011;2280;PL;;;;;;;;;;199;;;;;;;;;;;;;;;;
X00011;3030;GB;4451;4165;;;;;;;;;;;;;;;;;;;;;;;;
X00012;10;FI;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00012;1040;FI;;;;;;0;;;;;;;;;;;;;;;;;;;;
X00012;1260;FI;;;;;20;;;;;;;;;;;;;;;;;;;;;
X00012;1280;FI;;;;20;;30;;;;;;;;;;;;;;;;;;;;
X00012;1290;FI;;;178;;;;;;;;;;;;;;;;;;;;;;;
X00012;20;FI;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00012;3030;FI;78;70;;;;;;;;;;;;;;;;;;;;;;;;
X00013;10;PL;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00013;1040;PL;;;;;;;11;;;12436;-61;;;;;;;;;;;;;;;
X00013;1043;PL;;;;;;;11;1448;;12436;-61;;;;;;;;;;;;;;;
